Runner,Pos,Start-F12,F13,F14,F15,F16,Total,Last 4 F times,Last 4F%,FileName
Dysart Enos,1,179.73,13.16,12.68,13.85,13.04,3m 52.46s,52.73,111.23%,Huntingdon_20231114_14:05
Parkin Fine,2,180.03,13.36,12.53,13.91,14.27,3m 54.09s,54.06,109.24%,Huntingdon_20231114_14:05
Mary,3,179.81,13.26,12.67,14.63,14.74,3m 55.11s,55.30,107.27%,Huntingdon_20231114_14:05
Iliade Allen,4,179.28,13.44,12.82,14.42,15.78,3m 55.74s,56.46,105.34%,Huntingdon_20231114_14:05
Lightfoot Lady,5,179.79,13.98,13.40,14.93,14.90,3m 57.00s,57.21,104.51%,Huntingdon_20231114_14:05
Bethpage,6,180.90,13.53,13.10,15.05,14.52,3m 57.09s,56.19,106.45%,Huntingdon_20231114_14:05
Fillyfudge,7,180.74,13.39,13.07,14.93,15.59,3m 57.72s,56.98,105.26%,Huntingdon_20231114_14:05
Special Dragon,8,180.50,13.47,13.22,15.70,16.18,3m 59.06s,58.56,102.99%,Huntingdon_20231114_14:05
Foursome,9,180.30,13.84,13.49,16.28,15.60,3m 59.51s,59.21,102.06%,Huntingdon_20231114_14:05
Darting Rose,10,180.81,13.86,13.78,16.47,16.45,4m 01.37s,60.56,100.56%,Huntingdon_20231114_14:05
